# Time (s),Elevator (deg),Throttle,Pitch Rate (deg/s),Pitch Angle (deg),Altitude (m)
2.600000000000000089e-01,1.218319187830789652e+01,1.000000000000000000e+00,-7.888587776436533971e+00,-5.411488974895374282e-01,9.965828453341450199e+01
2.700000000000000178e-01,1.325235417095647961e+01,1.000000000000000000e+00,-8.809144116020689808e+00,-6.270077582410169548e-01,9.963220639362121744e+01
2.800000000000000266e-01,1.437440774251629705e+01,1.000000000000000000e+00,-9.797663895805662548e+00,-7.226045413876878154e-01,9.960519100097057787e+01
2.899999999999999800e-01,1.555035032281050000e+01,1.000000000000000000e+00,-1.085641314578701255e+01,-8.286292891623283641e-01,9.957724083466604270e+01
2.999999999999999889e-01,1.678119341217793803e+01,1.000000000000000000e+00,-1.198764193298724301e+01,-9.457926542586785335e-01,9.954835834564963193e+01
3.099999999999999978e-01,1.806796248753666490e+01,1.000000000000000000e+00,-1.319358461207050226e+01,-1.074825636942742912e+00,9.951854594416008126e+01
3.200000000000000067e-01,1.941169724456153745e+01,1.000000000000000000e+00,-1.447646009684599200e+01,-1.216479342631195282e+00,9.948780598679597631e+01
3.300000000000000155e-01,2.081345187745960246e+01,1.000000000000000000e+00,-1.583847214826400496e+01,-1.371524761945133841e+00,9.945614076306463858e+01
3.400000000000000244e-01,2.227429539773376987e+01,1.000000000000000000e+00,-1.728180967480071928e+01,-1.540752574976862244e+00,9.942355248139570278e+01
3.500000000000000333e-01,2.379531199322802948e+01,1.000000000000000000e+00,-1.880864704157291811e+01,-1.724972981199631272e+00,9.939004325459616496e+01
3.599999999999999867e-01,2.500000000000000000e+01,1.000000000000000000e+00,-2.041706056043201301e+01,-1.924995333547708798e+00,9.935561508472150649e+01
3.699999999999999956e-01,2.500000000000000000e+01,1.000000000000000000e+00,-2.209434330996725748e+01,-2.141554584286756935e+00,9.932026982218448552e+01
3.800000000000000044e-01,2.500000000000000000e+01,1.000000000000000000e+00,-2.384007450446478416e+01,-2.375319036715858090e+00,9.928400908559684979e+01
3.900000000000000133e-01,2.500000000000000000e+01,1.000000000000000000e+00,-2.565366555029539697e+01,-2.626950546559551736e+00,9.924683432632519953e+01
4.000000000000000222e-01,2.500000000000000000e+01,1.000000000000000000e+00,-2.753435799059460010e+01,-2.897103031734428846e+00,9.920874681377921434e+01
4.100000000000000311e-01,2.500000000000000000e+01,1.000000000000000000e+00,-2.948122157425207845e+01,-3.186420985544689888e+00,9.916974762045295222e+01
4.199999999999999845e-01,2.500000000000000000e+01,1.000000000000000000e+00,-3.149315244436359862e+01,-3.495537991559916957e+00,9.912983760672074141e+01
4.299999999999999933e-01,2.500000000000000000e+01,1.000000000000000000e+00,-3.356887144164767989e+01,-3.825075237944131956e+00,9.908901740538919967e+01
4.400000000000000022e-01,2.500000000000000000e+01,1.000000000000000000e+00,-3.570692251886012514e+01,-4.175640028581626417e+00,9.904728740600799597e+01
4.500000000000000111e-01,2.500000000000000000e+01,1.000000000000000000e+00,-3.790567126290265065e+01,-4.547824287999648440e+00,9.900464773894262294e+01
4.600000000000000200e-01,2.500000000000000000e+01,1.000000000000000000e+00,-4.016330352211083721e+01,-4.942203056830622998e+00,9.896109825921408287e+01
4.700000000000000289e-01,2.500000000000000000e+01,1.000000000000000000e+00,-4.247782413711455263e+01,-5.359332974394716231e+00,9.891663853011228014e+01
4.799999999999999822e-01,2.500000000000000000e+01,1.000000000000000000e+00,-4.484705577468740501e+01,-5.799750744922686607e+00,9.887126780659221481e+01
4.899999999999999911e-01,2.500000000000000000e+01,1.000000000000000000e+00,-4.726863786513843735e+01,-6.263971583982150371e+00,9.882498501846539796e+01
5.000000000000000000e-01,2.500000000000000000e+01,1.000000000000000000e+00,-4.974002564505050117e+01,-6.752487641818209596e+00,9.877778875340243303e+01
5.100000000000000089e-01,2.500000000000000000e+01,1.000000000000000000e+00,-5.225848930854066055e+01,-7.265766400570061734e+00,9.872967723976751131e+01
5.200000000000000178e-01,2.500000000000000000e+01,1.000000000000000000e+00,-5.482111327171622861e+01,-7.804249042674749504e+00,9.868064832931069930e+01
5.300000000000000266e-01,2.500000000000000000e+01,1.000000000000000000e+00,-5.742479555663597068e+01,-8.368348788211307010e+00,9.863069947975047569e+01
5.400000000000000355e-01,2.500000000000000000e+01,1.000000000000000000e+00,-6.006624730286949898e+01,-8.958449199465180257e+00,9.857982773728647885e+01
5.500000000000000444e-01,2.500000000000000000e+01,1.000000000000000000e+00,-6.274199241668363669e+01,-9.574902451594359931e+00,9.852802971909108010e+01
5.600000000000000533e-01,2.500000000000000000e+01,1.000000000000000000e+00,-6.544836736995931403e+01,-1.021802756894362751e+01,9.847530159583915577e+01
5.700000000000000622e-01,2.500000000000000000e+01,1.000000000000000000e+00,-6.818152116310263011e+01,-1.088810862726967521e+01,9.842163907434853343e+01
5.799999999999999600e-01,2.500000000000000000e+01,1.000000000000000000e+00,-7.093741546831023470e+01,-1.158539292289313849e+01,9.836703738042068323e+01
5.899999999999999689e-01,2.500000000000000000e+01,1.000000000000000000e+00,-7.371182497122883603e+01,-1.231008911056721011e+01,9.831149124199541234e+01
5.999999999999999778e-01,2.500000000000000000e+01,1.000000000000000000e+00,-7.650033792949786005e+01,-1.306236531262429956e+01,9.825499487277184585e+01
6.099999999999999867e-01,2.500000000000000000e+01,1.000000000000000000e+00,-7.929835696405748990e+01,-1.384234720269772900e+01,9.819754195651420048e+01
6.199999999999999956e-01,2.500000000000000000e+01,1.000000000000000000e+00,-8.210110008932328185e+01,-1.465011606795236787e+01,9.813912563238739040e+01
6.300000000000000044e-01,2.500000000000000000e+01,1.000000000000000000e+00,-8.490360196203683074e+01,-1.548570685416968828e+01,9.807973848192408184e+01
6.400000000000000133e-01,2.500000000000000000e+01,1.000000000000000000e+00,-8.770071526438987064e+01,-1.634910619794386832e+01,9.801937251876904611e+01
6.500000000000000222e-01,2.500000000000000000e+01,1.000000000000000000e+00,-9.048711198521765198e+01,-1.724025044903662618e+01,9.795801918353986082e+01
6.600000000000000311e-01,2.500000000000000000e+01,1.000000000000000000e+00,-9.325728400706255172e+01,-1.815902368217928853e+01,9.789566934881511884e+01
6.700000000000000400e-01,2.500000000000000000e+01,1.000000000000000000e+00,-9.600554157017266732e+01,-1.910525568795419105e+01,9.783231334535398105e+01
6.800000000000000488e-01,2.500000000000000000e+01,1.000000000000000000e+00,-9.872600620682968042e+01,-2.007871990891382907e+01,9.776794103471476660e+01
6.900000000000000577e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.014125900479067042e+02,-2.107913123097420893e+01,9.770254198613316987e+01
7.000000000000000666e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.040589423341932331e+02,-2.210614340692055180e+01,9.763610589117844540e+01
7.099999999999999645e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.066583186178693410e+02,-2.315934557759178958e+01,9.756862351945419221e+01
7.199999999999999734e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.092032755184842472e+02,-2.423825666362366604e+01,9.750008886203413283e+01
7.299999999999999822e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.116850166319304378e+02,-2.534231507176469833e+01,9.743050358642103959e+01
7.399999999999999911e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.140922658187501497e+02,-2.647085969658537863e+01,9.735988448200590994e+01
7.500000000000000000e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.164103480665864510e+02,-2.762310090522173311e+01,9.728826912159259166e+01
7.600000000000000089e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.186227786977026994e+02,-2.879809475752208314e+01,9.721570464420068447e+01
7.700000000000000178e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.207153929874697269e+02,-2.999474515687294129e+01,9.714222057646678365e+01
7.800000000000000266e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.226779018930831597e+02,-3.121183383403285916e+01,9.706781967964494129e+01
7.900000000000000355e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.245024237738941935e+02,-3.244805082856282041e+01,9.699248854426524247e+01
8.000000000000000444e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.261821412730521814e+02,-3.370201126818628268e+01,9.691620688844061249e+01
8.100000000000000533e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.277107431966760487e+02,-3.497226287154530411e+01,9.683895152290347141e+01
8.200000000000000622e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.290822583883322352e+02,-3.625728992369828063e+01,9.676069771871095782e+01
8.300000000000000711e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.302910282140942115e+02,-3.755551631810851632e+01,9.668141967572717022e+01
8.399999999999999689e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.313317235982893294e+02,-3.886530855914102744e+01,9.660109071216551513e+01
8.499999999999999778e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.321993761259221003e+02,-4.018497900892472074e+01,9.651968337290624333e+01
8.599999999999999867e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.328894135857051992e+02,-4.151278946546058535e+01,9.643716951709467367e+01
8.699999999999999956e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.333976967968925464e+02,-4.284695509570290994e+01,9.635352040322096911e+01
8.800000000000000044e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.337205565277110964e+02,-4.418564872552497036e+01,9.626870677699604073e+01
8.900000000000000133e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.338548298982672122e+02,-4.552700547918691854e+01,9.618269896339081981e+01
9.000000000000000222e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.337978958276877961e+02,-4.686912775534700870e+01,9.609546696296234813e+01
9.100000000000000311e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.335477091277008412e+02,-4.821009052214201063e+01,9.600698055216422233e+01
9.200000000000000400e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.331028328527828819e+02,-4.954794690963785797e+01,9.591720938716214562e+01
9.300000000000000488e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.324624685181582322e+02,-5.088073407382665891e+01,9.582612311057647503e+01
9.400000000000000577e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.316264838000580255e+02,-5.220647930231697842e+01,9.573369146050153233e+01
9.500000000000000666e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.305954373405629951e+02,-5.352320632799072797e+01,9.563988438109130641e+01
9.599999999999999645e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.293706002929797023e+02,-5.482894181327436911e+01,9.554467213394993053e+01
9.699999999999999734e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.279539742632631629e+02,-5.612172196440292993e+01,9.544802540952247227e+01
9.799999999999999822e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.263483053284066955e+02,-5.739959923227562655e+01,9.534991543764827782e+01
9.899999999999999911e-01,2.500000000000000000e+01,1.000000000000000000e+00,-1.245570938436686674e+02,-5.866065071784125706e+01,9.525031409641617586e+01
1.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.225843609388582109e+02,-5.990298543765977968e+01,9.514919398806917172e+01
1.010000000000000009e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.204346241645055500e+02,-6.112474666665393386e+01,9.504652854360324454e+01
1.020000000000000018e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.181132240828337387e+02,-6.232411603635129183e+01,9.494229216362852242e+01
1.030000000000000027e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.156263094022522466e+02,-6.349932124460951144e+01,9.483646030969859453e+01
1.040000000000000036e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.129808162408234296e+02,-6.464864344419130759e+01,9.472900959008867972e+01
1.050000000000000044e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.101844420823353232e+02,-6.577042427529360680e+01,9.461991783917582666e+01
